Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (yoy),Quarterly earnings growth (yoy),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share,Short interest ratio,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
KLAC,S&P 500,56.23B,3.15B,8.65B,27.18,16.96,4.20,1.14%,11300,Yes,Yes,2.00,17.95,15.69,1.13,6.50,13.61,21.81,27.44,1.60,2.30,0.91,0.91,13.06%,20.61,23.58,5.50,73.60%,12.05%,15.88%,24.40%,18.30%,26.90%,32.10%,Jul 28 AMC,10.40%,0.30%,-0.96%,92.10%,0.12%,27.90%,82.00%,32.30%,62.30%,39.30%,36.40%,19.50%,1.84%,150.15M,148.97M,5.21%,5.33,404.55,282.83 - 457.12,-19.06%,30.81%,66.11,0.90,1.46M,"1,307,428",2.62%,12.08%,17.54%,-2.79%,17.24%,-13.98%,1.30,13.59,3.28% 3.79%,361.14,369.98,2.45%
KMB,S&P 500,44.27B,1.75B,19.79B,2.09,1.48,4.64,3.48%,45000,Yes,Yes,3.20,25.73,19.89,4.55,2.24,63.76,89.80,402.47,0.50,0.80,13.23,11.86,-0.66%,5.18,6.70,1.31,-22.00%,16.95%,5.66%,-2.20%,1.20%,7.40%,-10.10%,Jul 26 BMO,1.13%,0.10%,-17.53%,76.90%,0.11%,9.70%,316.30%,22.00%,30.60%,12.20%,8.90%,87.70%,0.26%,337.00M,336.37M,2.05%,4.09,131.35,117.32 - 145.79,-8.59%,13.59%,51.37,0.64,1.69M,"1,079,044",2.08%,0.54%,-5.14%,-1.17%,-1.21%,-6.76%,0.33,2.48,2.13% 1.62%,132.05,133.26,0.92%
KMI,S&P 500,40.93B,1.77B,16.61B,13.51,0.04,1.11,6.15%,10529,Yes,Yes,3.00,23.16,14.93,-,2.46,1.34,487.24,20.63,0.40,0.50,1.05,0.94,5.54%,0.78,1.21,0.29,-13.60%,2.55%,-2.64%,25.80%,4.90%,-17.60%,-52.80%,Jul 20 AMC,0.29%,12.50%,-0.06%,61.90%,0.40%,2.50%,5.80%,4.00%,46.70%,17.60%,10.60%,137.60%,2.40%,2.27B,1.98B,1.66%,1.96,20.33,15.01 - 20.20,-10.69%,20.17%,60.78,0.87,16.83M,"14,644,172",2.15%,4.88%,-1.96%,2.97%,1.52%,13.75%,0.94,0.49,2.04% 2.66%,18.06,18.04,-0.11%
KMX,S&P 500,15.87B,966.80M,33.51B,33.69,0.59,-,-,32647,Yes,Yes,2.00,16.63,16.17,1.04,0.47,2.91,166.52,-,0.60,2.70,3.44,3.32,5.27%,5.89,6.06,1.44,54.10%,7.77%,16.00%,16.40%,15.00%,21.00%,-40.60%,Jun 24 BMO,4.40%,0.40%,-5.42%,-,0.41%,3.80%,18.70%,4.80%,9.70%,3.80%,2.90%,0.00%,-12.41%,160.30M,158.66M,8.45%,7.92,112.18,84.37 - 155.98,-37.18%,16.13%,57.54,0.84,1.69M,"1,430,033",2.05%,3.79%,10.25%,-9.07%,-26.50%,-24.76%,1.40,3.74,3.79% 3.66%,94.37,97.98,3.83%
KO,DJIA S&P500,276.66B,10.31B,40.13B,5.74,2.40,1.76,2.75%,79000,Yes,Yes,2.10,27.02,24.42,4.69,6.89,11.16,26.72,95.53,1.00,1.20,1.68,1.49,2.29%,2.37,2.62,0.67,25.60%,6.71%,5.75%,8.50%,-1.60%,16.30%,23.10%,Jul 26 BMO,2.58%,0.10%,-15.46%,70.80%,0.08%,11.20%,44.70%,12.60%,60.30%,29.20%,25.70%,52.80%,6.14%,4.33B,4.31B,0.80%,1.92,69.37,52.28 - 67.20,-4.67%,22.53%,59.97,0.61,17.85M,"10,826,375",4.40%,2.86%,-2.29%,7.48%,12.90%,8.19%,0.54,1.14,1.79% 1.68%,63.01,64.06,1.67%
KR,S&P 500,32.97B,2.16B,141.19B,13.03,1.93,1.04,2.26%,420000,Yes,Yes,2.80,15.90,11.39,2.31,0.23,3.53,23.86,17.43,0.30,0.80,1.45,1.39,-2.65%,2.90,4.04,0.78,-33.60%,3.27%,6.89%,1.20%,3.60%,8.00%,390.10%,Jun 16 BMO,-6.28%,0.80%,-10.40%,82.80%,0.35%,4.40%,22.90%,13.60%,21.70%,3.00%,1.50%,27.60%,-4.94%,722.00M,710.87M,3.26%,3.70,54.88,38.22 - 62.78,-26.66%,20.46%,37.01,0.58,6.26M,"3,624,882",-0.52%,-4.93%,-17.16%,3.74%,15.01%,1.72%,0.51,1.15,2.10% 2.21%,45.94,46.04,0.22%
L,S&P 500,14.30B,1.66B,14.52B,66.84,3.22,0.25,0.43%,10340,Yes,Yes,3.00,8.97,-,0.64,0.98,0.86,17.92,6.13,-,-,0.56,0.54,-0.18%,6.44,-,-,282.60%,-,14.03%,25.70%,2.20%,-4.90%,39.60%,Aug 01 BMO,-4.28%,0.10%,-69.07%,62.00%,0.21%,2.00%,9.40%,7.90%,-,18.40%,11.40%,3.90%,-4.03%,247.97M,203.32M,0.77%,1.61,-,51.35 - 68.20,-15.34%,12.44%,45.65,0.59,971.79K,"574,656",0.59%,-3.01%,-9.94%,-1.55%,8.43%,-0.03%,0.84,1.23,1.96% 1.89%,58.01,57.74,-0.47%
LDOS,S&P 500,14.39B,723.00M,13.92B,28.45,2.19,1.44,1.36%,43000,Yes,Yes,2.00,20.83,14.79,3.16,1.03,3.72,48.45,24.85,0.90,1.00,1.30,1.16,5.16%,5.08,7.16,1.56,20.70%,10.36%,6.60%,17.50%,14.30%,5.40%,-12.20%,Aug 02 BMO,4.59%,0.60%,-8.24%,82.90%,-0.54%,5.50%,17.60%,10.00%,14.80%,8.00%,5.20%,27.60%,7.91%,139.00M,135.41M,0.83%,1.47,117.90,81.07 - 111.12,-4.72%,30.59%,65.83,0.86,763.20K,"654,865",4.94%,6.66%,-0.35%,12.88%,-0.62%,19.09%,0.71,2.11,1.74% 1.90%,103.25,105.87,2.54%
LEN,S&P 500,23.92B,4.37B,29.94B,74.50,5.40,1.50,1.76%,10753,Yes,Yes,2.10,5.82,5.62,0.25,0.80,1.14,15.77,16.60,-,-,0.28,0.22,8.99%,14.64,15.16,4.95,81.30%,-9.76%,23.70%,29.40%,19.90%,-28.90%,-23.50%,Jun 21 BMO,12.47%,1.90%,-0.69%,94.70%,-0.10%,13.20%,20.90%,16.40%,22.80%,19.50%,14.60%,7.70%,-5.78%,289.89M,263.29M,4.45%,4.21,91.65,62.54 - 117.54,-27.51%,36.23%,68.53,1.14,2.79M,"3,176,400",3.80%,22.17%,12.42%,-8.53%,-15.56%,-26.65%,1.50,2.88,3.34% 3.60%,83.58,85.20,1.94%
LH,S&P 500,23.66B,2.10B,15.86B,115.03,13.16,2.88,1.14%,75500,Yes,Yes,1.80,11.59,13.88,-,1.49,2.19,19.18,12.96,1.80,2.00,0.51,0.51,3.73%,21.78,18.18,4.70,53.60%,-7.59%,-12.81%,29.00%,11.00%,-6.30%,-33.10%,Jul 28 BMO,4.92%,0.20%,-1.71%,92.30%,0.23%,10.20%,20.10%,15.90%,33.20%,18.20%,13.20%,0.00%,-5.70%,93.20M,92.46M,2.21%,2.52,299.38,212.40 - 317.17,-20.43%,18.82%,62.45,1.19,809.86K,"966,508",1.32%,6.96%,-0.26%,-5.40%,-10.88%,-19.68%,1.02,5.64,2.58% 2.12%,249.47,252.38,1.17%
LHX,S&P 500,44.50B,1.85B,17.35B,99.69,2.09,4.48,1.93%,47000,Yes,Yes,-,24.97,15.76,4.03,2.56,2.33,110.69,49.12,1.10,1.30,0.37,0.35,0.63%,9.28,14.71,3.17,75.10%,8.35%,6.20%,12.50%,24.70%,-10.20%,8.20%,Jul 28 AMC,-0.75%,0.30%,-3.31%,84.00%,0.18%,5.30%,9.50%,6.20%,30.20%,12.10%,10.70%,44.60%,-0.02%,193.20M,192.14M,1.20%,2.35,279.12,200.71 - 279.71,-17.13%,15.49%,52.57,1.28,979.40K,"1,252,665",3.44%,-1.71%,-3.85%,4.11%,1.81%,8.70%,0.68,5.91,2.34% 2.51%,223.90,231.79,3.52%
LIN,S&P 500,150.05B,4.02B,31.76B,84.71,8.83,4.68,1.58%,72507,Yes,Yes,1.70,38.25,22.69,3.67,4.72,3.51,33.61,33.99,0.70,0.80,0.38,0.30,5.83%,7.76,13.09,2.96,55.70%,10.27%,10.43%,7.00%,23.90%,13.40%,23.60%,Jul 28 BMO,-0.93%,0.10%,0.79%,81.50%,0.00%,4.80%,9.10%,6.40%,42.40%,16.50%,12.70%,55.50%,-5.02%,507.15M,501.85M,0.94%,1.79,355.80,265.12 - 352.18,-15.69%,12.00%,58.26,0.74,2.63M,"1,934,924",3.45%,1.20%,-3.29%,-3.88%,0.02%,-14.29%,0.88,6.69,1.94% 1.87%,290.45,296.93,2.23%
LKQ,S&P 500,15.40B,1.09B,13.27B,20.25,1.15,1.00,1.85%,46000,Yes,Yes,1.50,14.55,12.68,0.43,1.16,2.67,47.09,17.66,0.80,1.90,0.47,0.46,5.93%,3.72,4.27,1.02,74.90%,7.50%,33.50%,20.00%,8.80%,5.60%,7.10%,Jul 28 BMO,7.40%,0.50%,-77.87%,97.60%,-1.83%,8.70%,18.80%,13.10%,40.60%,10.90%,8.30%,13.30%,3.60%,285.70M,281.42M,1.60%,2.62,63.56,42.36 - 60.43,-10.39%,27.83%,65.01,0.96,1.72M,"1,661,861",1.44%,8.43%,9.44%,-0.17%,8.47%,-9.80%,1.41,1.38,2.55% 2.51%,53.67,54.15,0.89%
LLY,S&P 500,312.56B,6.13B,29.32B,10.33,2.72,3.92,1.19%,35000,Yes,Yes,2.00,49.09,34.81,3.39,10.66,32.02,121.70,89.56,1.00,1.30,1.77,1.62,1.15%,6.74,9.50,1.70,-9.80%,14.30%,14.46%,18.90%,5.90%,14.80%,41.30%,Aug 04 BMO,5.53%,11.10%,-3.23%,84.10%,-0.18%,12.80%,75.40%,20.80%,74.40%,24.60%,20.90%,52.10%,19.63%,903.70M,898.30M,0.61%,1.87,329.42,220.20 - 335.33,-1.35%,50.23%,58.15,0.81,2.91M,"2,348,724",1.19%,4.15%,16.03%,39.07%,34.19%,19.76%,0.36,7.72,1.79% 2.17%,328.94,330.80,0.57%
LMT,S&P 500,107.80B,4.71B,64.17B,43.01,6.69,11.20,2.76%,114000,Yes,Yes,2.50,23.49,14.43,2.45,1.68,9.44,60.73,24.17,1.10,1.30,0.00,1.02,-0.52%,17.29,28.14,6.70,-7.10%,29.23%,9.60%,13.50%,7.20%,-9.30%,-82.20%,Jul 19 BMO,-3.70%,0.06%,-11.50%,76.60%,0.10%,9.10%,44.80%,27.30%,13.40%,10.80%,7.30%,63.40%,1.89%,265.80M,264.99M,0.96%,2.00,461.28,324.23 - 479.99,-15.40%,25.25%,47.96,0.80,1.27M,"1,013,500",2.75%,-3.48%,-8.74%,3.79%,8.92%,14.26%,0.69,9.81,2.07% 2.44%,398.54,406.08,1.89%
LNC,S&P 500,8.82B,1.28B,19.38B,84.88,11.20,1.80,3.57%,10848,Yes,Yes,2.50,7.06,4.34,0.38,0.46,0.59,4.50,7.18,-,-,0.45,0.45,4.86%,7.14,11.62,2.24,230.00%,34.42%,18.51%,9.30%,7.40%,3.40%,-50.20%,Aug 03 AMC,-0.72%,0.70%,-3.92%,77.40%,0.18%,0.30%,6.60%,6.50%,-,9.50%,6.60%,23.60%,-20.77%,173.33M,155.95M,3.34%,3.27,60.93,44.89 - 77.57,-35.00%,12.32%,54.24,0.80,1.59M,"1,270,556",-0.16%,3.62%,-18.22%,-27.58%,-17.65%,-26.14%,1.90,1.72,2.95% 3.12%,50.32,50.42,0.20%
LNT,S&P 500,14.83B,680.00M,3.84B,24.25,0.27,1.71,2.85%,3313,Yes,Yes,2.60,22.14,20.74,4.10,3.86,2.48,221.28,-,0.60,0.70,1.32,1.21,3.74%,2.71,2.90,0.58,6.50%,5.16%,5.40%,9.80%,2.00%,18.50%,12.10%,Aug 04 AMC,2.23%,0.20%,0.24%,77.50%,-0.04%,3.70%,11.40%,6.30%,91.50%,22.00%,17.70%,60.20%,1.75%,250.60M,250.44M,0.88%,1.23,63.67,54.20 - 65.37,-8.17%,10.76%,61.85,0.62,1.78M,"1,094,229",6.15%,3.45%,-1.30%,3.32%,1.11%,-2.34%,0.45,1.08,1.61% 2.00%,58.71,60.03,2.25%
LOW,S&P 500,120.69B,8.42B,95.49B,-10.42,-,4.20,2.20%,200000,Yes,Yes,1.90,15.55,13.07,1.65,1.26,-,-,25.24,0.20,1.20,-,-,3.43%,12.27,14.60,4.62,55.30%,8.58%,9.40%,28.20%,8.20%,-3.10%,9.40%,May 18 BMO,2.81%,0.10%,0.00%,79.60%,0.14%,17.40%,-250.60%,46.80%,33.50%,12.70%,8.80%,24.40%,-12.35%,660.00M,638.45M,1.94%,3.25,236.70,170.12 - 263.31,-27.54%,12.16%,57.02,1.58,3.81M,"6,026,606",-1.43%,9.20%,-4.39%,-16.35%,-0.83%,-26.18%,1.26,5.15,2.79% 2.47%,189.92,190.80,0.46%
LRCX,S&P 500,69.03B,4.54B,16.74B,43.28,30.59,6.00,1.24%,14100,Yes,Yes,2.10,15.16,13.01,1.22,4.12,11.20,15.85,24.88,2.00,2.80,0.83,0.83,13.13%,31.99,37.27,7.32,78.10%,17.55%,12.39%,38.80%,20.00%,5.50%,-1.50%,Jul 27 AMC,6.04%,0.20%,-2.37%,84.00%,0.45%,28.10%,74.60%,36.40%,45.90%,31.20%,27.10%,17.40%,-11.92%,139.23M,137.62M,1.23%,1.28,595.36,375.87 - 731.85,-33.74%,29.02%,62.14,1.79,1.33M,"2,372,858",1.85%,10.65%,6.16%,-18.73%,-23.63%,-32.57%,1.33,19.66,3.99% 4.05%,467.66,484.94,3.69%
LUMN,S&P 500,11.12B,2.16B,19.33B,12.18,0.36,1.00,9.20%,35000,Yes,Yes,3.40,5.27,10.04,-,0.58,0.89,30.39,4.40,2.10,2.10,2.32,2.31,0.23%,2.06,1.08,0.46,266.90%,-37.07%,-,10.50%,2.40%,-7.00%,35.60%,Aug 03 AMC,-2.67%,0.70%,0.00%,79.00%,0.06%,3.70%,18.40%,8.90%,56.90%,22.70%,11.20%,48.20%,-7.03%,1.01B,941.77M,15.62%,12.25,10.40,9.31 - 14.49,-25.01%,16.76%,49.69,0.87,12.00M,"10,483,462",4.02%,-3.38%,4.62%,-9.57%,-14.07%,-13.39%,0.98,0.34,2.87% 2.64%,10.97,10.87,-0.91%
LUV,S&P 500,22.99B,584.00M,18.43B,17.60,26.12,-,-,58865,Yes,Yes,2.20,40.46,10.11,-,1.25,2.17,1.46,8.11,1.80,1.90,1.03,0.99,-1.23%,0.94,3.77,1.19,129.50%,38.08%,-,-14.20%,-4.90%,128.80%,-346.50%,Jul 28 BMO,-4.81%,0.30%,-0.13%,80.00%,-0.30%,1.60%,5.70%,6.40%,71.10%,7.30%,3.20%,0.00%,-12.99%,592.00M,590.89M,1.73%,1.83,54.82,34.36 - 56.33,-32.27%,11.03%,44.62,2.96,5.58M,"16,546,955",-6.70%,4.09%,-16.96%,-12.72%,-26.29%,-10.95%,1.04,1.47,2.98% 3.06%,40.77,38.15,-6.43%
LVS,S&P 500,29.83B,-1372.00M,3.85B,5.93,8.30,-,-,44500,Yes,Yes,2.30,-,28.08,-,7.74,6.50,4.64,-,3.10,3.10,3.31,3.29,8.37%,-1.80,1.37,-0.22,20.00%,427.10%,-1.75%,-22.10%,-17.80%,-21.20%,-74.50%,Jul 20 AMC,12.17%,0.10%,0.00%,38.70%,-0.25%,-4.70%,-34.60%,-4.90%,31.40%,-21.40%,-24.90%,-,1.42%,764.00M,330.73M,6.71%,3.00,46.85,28.88 - 48.27,-20.20%,33.40%,62.31,0.58,7.40M,"4,262,714",-2.53%,11.62%,10.56%,-12.69%,-13.46%,2.34%,1.30,1.44,2.49% 3.82%,38.97,38.52,-1.15%
LW,S&P 500,11.61B,234.40M,3.95B,2.70,2.96,0.98,1.22%,7800,Yes,Yes,1.70,50.00,28.16,3.39,2.94,29.69,27.09,56.83,1.60,2.60,6.96,6.87,8.24%,1.60,2.85,0.51,-13.10%,45.87%,14.75%,2.40%,4.20%,6.60%,63.20%,Jul 27 BMO,15.25%,0.63%,-0.42%,88.80%,0.13%,5.60%,56.30%,11.90%,19.60%,9.00%,5.90%,58.40%,27.10%,145.10M,140.41M,2.22%,2.52,78.17,49.71 - 77.39,3.57%,61.24%,78.57,2.34,1.24M,"2,887,333",6.62%,11.77%,19.91%,25.78%,19.95%,26.46%,0.50,2.07,2.79% 2.51%,77.14,80.15,3.90%
LYB,S&P 500,29.09B,5.87B,50.25B,38.71,5.43,4.76,5.37%,19100,Yes,Yes,2.50,5.03,5.61,1.51,0.58,2.29,16.30,5.75,1.10,1.80,0.89,0.88,1.94%,17.60,15.78,4.63,294.90%,-4.73%,3.33%,12.90%,9.60%,44.90%,25.10%,Jul 29 BMO,-7.06%,0.20%,-8.52%,72.20%,0.09%,15.60%,50.00%,23.90%,18.70%,14.60%,11.70%,25.70%,-5.95%,328.00M,256.40M,2.11%,2.14,107.14,80.37 - 112.53,-21.30%,10.19%,47.91,1.28,2.53M,"3,231,819",1.77%,0.16%,-11.94%,-0.31%,-6.28%,0.56%,1.29,2.67,1.91% 2.66%,88.40,88.56,0.18%
LYV,S&P 500,21.22B,-448.50M,7.78B,-2.33,25.75,-,-,10200,Yes,Yes,2.20,-,59.97,-,2.73,-,3.61,7.82,1.00,1.00,-,-,7.45%,-2.05,1.55,0.52,62.00%,148.32%,-,-67.70%,-5.60%,520.40%,73.00%,Aug 04 AMC,5.61%,2.60%,-24.76%,72.10%,-0.08%,-3.20%,74.20%,-6.40%,32.00%,-0.70%,-5.80%,-,-10.97%,221.89M,153.16M,9.91%,7.32,123.23,76.31 - 127.75,-27.14%,21.98%,59.95,0.54,2.08M,"1,110,881",1.66%,10.31%,-12.80%,-11.12%,16.05%,-22.23%,1.32,3.08,2.58% 3.21%,93.34,93.08,-0.28%
MA,S&P 500,345.84B,9.49B,19.90B,7.20,7.47,1.96,0.56%,24000,Yes,Yes,1.80,36.67,27.86,1.64,17.38,48.95,47.19,46.03,1.30,1.30,2.08,1.97,6.75%,9.61,12.65,2.35,37.40%,20.06%,22.36%,18.90%,11.90%,24.40%,46.40%,Jul 28 BMO,5.28%,10.80%,-1.54%,78.10%,0.08%,26.20%,138.10%,39.90%,-,54.50%,47.70%,18.80%,1.23%,977.00M,859.34M,0.62%,1.69,419.92,303.65 - 399.92,-11.87%,16.07%,66.03,1.14,3.17M,"3,625,735",1.59%,10.73%,-2.52%,2.26%,-8.08%,-1.91%,1.04,9.55,3.07% 2.63%,343.27,352.45,2.67%
MAA,S&P 500,21.04B,593.20M,1.83B,51.36,0.53,5.00,2.72%,2429,Yes,Yes,2.40,35.75,41.65,5.11,11.50,3.58,348.27,-,-,-,0.77,0.77,7.39%,5.15,4.42,0.94,110.00%,11.28%,7.00%,11.40%,9.60%,12.00%,135.50%,Jul 27 AMC,6.77%,0.60%,-5.36%,94.80%,-0.24%,-,-,4.20%,59.70%,-,-,-,-7.28%,115.26M,114.72M,1.98%,3.41,199.78,158.85 - 231.63,-20.57%,15.82%,70.78,1.32,665.15K,"876,303",6.72%,6.19%,-9.13%,-7.54%,-1.97%,-19.81%,0.70,3.94,2.42% 2.12%,176.00,183.99,4.54%
MAR,S&P 500,51.77B,1.49B,15.74B,5.40,3.18,1.20,0.76%,120000,Yes,Yes,2.50,35.05,21.52,0.88,3.29,29.28,49.69,38.46,0.50,0.50,5.34,4.93,9.89%,4.51,7.34,1.55,507.20%,23.18%,39.75%,4.10%,-2.10%,81.30%,-,Aug 02 BMO,3.88%,1.20%,-0.66%,61.80%,-0.23%,6.00%,121.40%,13.00%,20.80%,13.10%,9.40%,0.00%,-2.07%,328.30M,266.52M,2.38%,2.55,171.26,127.58 - 195.90,-19.30%,23.91%,64.37,0.68,2.50M,"1,703,064",4.70%,13.99%,-12.27%,-0.40%,9.35%,-4.33%,1.62,4.92,2.50% 2.98%,157.60,158.09,0.31%
MAS,S&P 500,13.04B,546.00M,8.61B,-1.55,2.03,1.12,2.03%,20000,Yes,Yes,2.50,24.67,12.31,2.28,1.52,-,27.22,30.68,1.00,1.60,-,-,3.58%,2.24,4.49,1.19,-46.90%,5.97%,10.80%,1.90%,2.60%,11.70%,165.50%,Jul 28 BMO,3.23%,0.40%,-8.11%,95.80%,0.16%,9.90%,-263.10%,35.70%,33.30%,15.80%,6.30%,43.60%,-5.77%,239.00M,235.47M,2.71%,2.84,64.50,46.27 - 71.06,-22.20%,19.47%,58.30,1.56,2.25M,"3,496,840",-1.81%,7.88%,0.69%,-11.32%,-7.33%,-21.28%,1.25,1.55,2.96% 2.76%,53.92,55.28,2.52%
MCD,DJIA S&P500,194.44B,7.11B,23.76B,-8.07,-,5.52,2.10%,200000,Yes,Yes,2.10,27.84,24.65,3.73,8.18,-,-,62.79,1.10,1.10,-,-,4.14%,9.46,10.69,2.47,59.10%,8.61%,7.46%,13.00%,-1.20%,10.60%,-27.80%,Jul 26 BMO,6.77%,0.16%,-0.40%,69.70%,-0.07%,13.60%,-128.90%,28.30%,54.50%,41.60%,29.90%,56.00%,5.46%,742.60M,738.37M,0.83%,2.15,278.69,217.68 - 271.15,-2.84%,21.03%,67.09,1.00,2.84M,"2,841,286",3.94%,8.50%,6.60%,5.45%,8.97%,-1.72%,0.55,4.81,2.42% 1.74%,258.89,263.46,1.77%
MCHP,S&P 500,38.07B,1.29B,6.82B,10.61,0.57,1.10,1.64%,21000,Yes,Yes,2.20,29.67,12.19,1.25,5.58,6.35,119.20,19.34,1.10,1.80,1.30,1.30,10.35%,2.27,5.53,1.34,75.90%,3.33%,23.70%,44.30%,14.90%,25.70%,87.90%,May 09 AMC,5.83%,2.00%,-0.07%,95.60%,0.70%,7.90%,22.40%,11.30%,65.20%,25.50%,18.80%,39.10%,-7.77%,555.60M,541.39M,2.57%,2.78,81.79,54.33 - 90.00,-25.14%,24.00%,63.60,0.58,5.01M,"2,916,795",1.77%,13.32%,4.63%,-9.44%,-2.28%,-22.62%,1.61,2.21,3.01% 3.33%,66.67,67.37,1.05%
MCK,S&P 500,48.45B,1.12B,263.97B,-15.43,24.80,1.88,0.55%,58000,Yes,Yes,2.00,46.95,13.33,3.45,0.18,-,13.72,15.00,0.60,1.00,-,-,3.50%,7.24,25.52,5.27,125.70%,9.32%,13.59%,-20.80%,5.90%,11.80%,-40.80%,Aug 03 AMC,5.28%,0.10%,-48.53%,92.50%,-0.17%,1.80%,-95.90%,33.60%,5.00%,0.70%,0.40%,24.40%,22.63%,147.20M,143.47M,1.74%,2.21,369.92,192.38 - 341.65,-0.45%,76.80%,64.94,0.63,1.13M,"711,180",3.76%,5.78%,7.01%,37.72%,66.59%,36.83%,0.62,7.74,2.10% 2.34%,339.62,340.12,0.15%
MCO,S&P 500,56.60B,1.98B,6.14B,12.93,10.03,2.80,0.91%,13913,Yes,Yes,2.20,29.02,25.56,5.48,9.22,23.69,30.55,49.74,1.40,1.40,3.25,3.04,8.12%,10.55,11.98,2.32,25.40%,17.54%,5.30%,53.90%,11.50%,-4.90%,-31.40%,Jul 26 BMO,8.82%,0.10%,-9.58%,94.00%,0.08%,14.00%,81.20%,22.70%,72.90%,43.10%,32.20%,24.10%,-8.65%,185.10M,184.00M,1.69%,3.03,310.93,251.01 - 407.94,-24.92%,22.02%,67.06,0.93,1.03M,"957,231",3.49%,13.19%,-4.13%,-5.63%,-19.10%,-21.58%,1.19,7.73,3.41% 2.48%,293.62,306.28,4.31%
MDLZ,S&P 500,87.93B,4.19B,29.25B,20.27,1.42,1.40,2.18%,79000,Yes,Yes,1.90,21.55,20.36,3.31,3.01,3.17,45.19,55.76,0.50,0.70,0.70,0.65,3.45%,2.98,3.15,0.64,23.40%,7.83%,6.52%,24.00%,2.10%,7.30%,-9.50%,Jul 26 AMC,3.73%,0.10%,-4.00%,79.90%,0.28%,6.20%,15.00%,7.00%,38.50%,14.80%,14.30%,45.50%,1.39%,1.39B,1.38B,0.87%,1.51,72.82,57.62 - 69.47,-7.59%,11.41%,64.58,0.65,7.99M,"5,221,975",4.65%,4.02%,0.23%,-3.63%,1.26%,-3.18%,0.60,1.20,1.80% 1.79%,63.63,64.20,0.90%
MDT,S&P 500,123.56B,5.04B,31.69B,39.32,8.00,2.72,2.91%,95000,Yes,Yes,2.10,25.02,15.56,1.98,3.90,2.38,11.69,47.60,1.50,1.90,0.46,0.39,4.02%,3.74,6.01,1.12,44.20%,8.08%,12.66%,5.20%,1.30%,-1.20%,10.30%,May 26 BMO,-0.05%,0.24%,-0.21%,84.20%,0.16%,5.50%,9.70%,6.90%,68.50%,18.20%,15.90%,67.10%,-11.42%,1.34B,1.33B,0.77%,1.79,111.32,86.70 - 135.89,-31.22%,7.81%,59.46,0.83,5.71M,"4,718,853",3.56%,4.79%,-12.34%,-10.20%,-28.39%,-9.65%,0.77,1.69,1.49% 1.71%,93.22,93.47,0.27%
MET,S&P 500,50.51B,6.67B,71.27B,65.51,28.76,2.00,3.23%,43000,Yes,Yes,1.90,8.02,7.54,1.92,0.71,0.94,2.15,4.42,-,-,0.32,0.32,0.70%,7.71,8.21,1.47,28.60%,17.85%,4.18%,18.40%,3.10%,1.20%,124.50%,Aug 03 AMC,-1.98%,0.20%,-3.36%,76.00%,0.24%,0.90%,10.30%,8.80%,-,13.30%,9.40%,24.70%,-5.09%,823.80M,685.11M,1.65%,2.47,75.47,56.69 - 73.18,-15.48%,9.10%,49.97,0.97,4.56M,"4,418,116",1.21%,-2.97%,-7.55%,-6.37%,7.30%,-1.02%,1.10,1.60,2.11% 2.31%,62.25,61.85,-0.64%
META,S&P 500,470.68B,37.34B,119.67B,45.22,14.99,-,-,77805,Yes,Yes,2.10,12.16,11.94,1.61,3.93,3.55,10.72,11.83,2.80,2.80,0.00,0.00,-4.12%,13.21,13.46,2.60,36.40%,16.21%,7.53%,31.60%,33.70%,6.60%,-17.40%,Jul 27 AMC,-8.60%,0.55%,-0.01%,76.70%,-0.31%,22.30%,28.70%,31.00%,80.30%,36.70%,31.20%,0.00%,-35.37%,2.73B,2.28B,1.18%,0.84,278.73,154.25 - 384.33,-58.18%,4.19%,44.06,2.27,32.07M,"72,889,306",-12.26%,0.02%,-8.13%,-45.45%,-56.94%,-52.22%,1.42,8.28,4.53% 3.85%,169.58,160.72,-5.22%
